Star1,Star2,Avg_Gross
Leonardo DiCaprio,Tom Hardy,183637894.0
Leslie Nielsen,Priscilla Presley,78756177.0
Lew Ayres,Louis Wolheim,3270000.0
Liam Neeson,Maggie Grace,145000989.0
Liam Neeson,Ralph Fiennes,96898818.0
Liesel Matthews,Eleanor Bron,10019307.0
Lilly Wachowski,Keanu Reeves,171479930.0
Lily Franky,Sakura Andô,3313513.0
Liza Minnelli,Michael York,42765000.0
Logan Lerman,Emma Watson,17738570.0
Loveleen Tandan,Dev Patel,141319928.0
Lubna Azabal,Mélissa Désormeaux-Poulin,6857096.0
Léa Seydoux,Adèle Exarchopoulos,2199675.0
Macaulay Culkin,Joe Pesci,285761243.0
Madeline Carroll,Callan McAuliffe,1752214.0
Mads Mikkelsen,Sidse Babett Knudsen,412544.0
Mads Mikkelsen,Thomas Bo Larsen,687185.0
Malcolm McDowell,Patrick Magee,6207725.0
Marcello Mastroianni,Anita Ekberg,19516000.0
Marcello Mastroianni,Anouk Aimée,50690.0
Margaret Sullavan,James Stewart,203300.0
Maribel Verdú,Gael García Bernal,13622333.0
Marilyn Monroe,Tony Curtis,25000000.0
Marion Cotillard,Sylvie Testud,10301706.0
Marjane Satrapi,Chiara Mastroianni,4445756.0
Mark Hamill,Harrison Ford,307446872.0
Mark Ruffalo,Michael Keaton,45055776.0
Mark Wahlberg,Christian Bale,93617009.0
Mark Wahlberg,Julianne Moore,26400640.0
Marlon Brando,Al Pacino,134966411.0
Marlon Brando,Karl Malden,9600000.0
Martin Freeman,Ian McKellen,303003568.0
Martin Landau,Woody Allen,18254702.0
Martin Sheen,Marlon Brando,83471511.0
Maryana Spivak,Aleksey Rozin,566356.0
Masahiro Motoki,Ryôko Hirosue,1498210.0
Massimo Troisi,Massimo Troisi,21848932.0
Matt Damon,Christian Bale,117624028.0
Matt Damon,Edgar Ramírez,227471070.0
Matt Damon,Franka Potente,176241941.0
Matt Damon,Jessica Chastain,228433663.0
Matthew Broderick,Alan Ruck,70136369.0
Matthew Broderick,Denzel Washington,26830000.0
Matthew McConaughey,Anne Hathaway,188020017.0
Matthew McConaughey,Jennifer Garner,27298285.0
Matthew Modine,R. Lee Ermey,46357676.0
Megumi Hayashibara,Tôru Emori,881302.0
Mel Gibson,Bruce Spence,12465371.0
Mel Gibson,Danny Glover,65207127.0
Mel Gibson,Sophie Marceau,75600000.0
Mia Farrow,Dianne Wiest,40084041.0
Mia Farrow,Jeff Daniels,10631333.0
Michael B. Jordan,Sylvester Stallone,109767581.0
Michael Beck,James Remar,22490039.0
Michael Caine,Kermit the Frog,27281507.0
Michael Douglas,Deborah Kara Unger,48323648.0
Michael Douglas,Robert Duvall,40903593.0
Michael J. Fox,Christopher Lloyd,164554881.0
Michael Keaton,Zach Galifianakis,42340598.0
Michael Nyqvist,Noomi Rapace,10095170.0
Michael Schwartz,Zack Gottsagen,13122642.0
Michèle Caucheteux,Jean-Claude Donda,7002255.0
Mickey Rourke,Marisa Tomei,26236603.0
Mikael Persbrandt,Trine Dyrholm,1008098.0
Miki Imai,Toshirô Yanagiba,453243.0
Miles Teller,J.K. Simmons,13092000.0
Mohammad Amir Naji,Amir Farrokh Hashemian,933933.0
Morgan Freeman,Brad Pitt,100125643.0
Morgan Freeman,Ed Harris,20300218.0
Moritz Bleibtreu,Christian Berkel,141072.0
Muhammet Uzuner,Yilmaz Erdogan,138730.0
Myrna Loy,Dana Andrews,23650000.0
Naomi Watts,Laura Harring,7220243.0
Naomi Watts,Viggo Mortensen,17114882.0
Natalie Portman,Mila Kunis,106954678.0
Nathan Fillion,Gina Torres,25514517.0
Nicolas Cage,Ethan Hawke,24149632.0
Nicolas Cage,Meryl Streep,22245861.0
Nicole Kidman,Christopher Eccleston,96522687.0
Nicole Kidman,Paul Bettany,1530386.0
Nora Twomey,Evan McGuire,686383.0
Noémie Merlant,Adèle Haenel,3759854.0
O'Shea Jackson Jr.,Corey Hawkins,161197785.0
Oksana Akinshina,Artyom Bogucharskiy,181655.0
Omar Sharif,Julie Christie,111722000.0
Orson Welles,Joseph Cotten,1017412.5
Owen Wilson,Rachel McAdams,56816662.0
Paddy Considine,Gary Stretch,6013.0
Paddy Considine,Samantha Morton,15539266.0
Patrick Stewart,Ian McKellen,233921534.0
Paul Newman,Charlotte Rampling,54000000.0
Paul Newman,George Kennedy,16217773.0
Paul Newman,Jackie Gleason,8284000.0
Paul Newman,Robert Redford,130954444.5
Paul Scofield,Wendy Hiller,28350000.0
Payman Maadi,Leila Hatami,7098492.0
Peter Billingsley,Melinda Dillon,20605209.0
Peter Dinklage,Patricia Clarkson,5739376.0
Peter O'Toole,Alec Guinness,44824144.0
Peter Ramsey,Rodney Rothman,190241310.0
Peter Sellers,George C. Scott,275902.0
Peter Sellers,Shirley MacLaine,30177511.0
Phil Harris,Sebastian Cabot,141843612.0
Phil Lord,Chris Pratt,257760692.0
Philip Seymour Hoffman,Samantha Morton,3081925.0
Philippe Noiret,Enzo Cannavale,11990401.0
Pierre Brasseur,Alida Valli,52709.0
Preity Zinta,Shah Rukh Khan,1787378.0
Quentin Tarantino,Robert Rodriguez,74103820.0
Quinton Aaron,Sandra Bullock,255959475.0
Ralph Fiennes,F. Murray Abraham,59100318.0
Rami Malek,Lucy Boynton,216428042.0
Ray Milland,Grace Kelly,12562.0
Rena Owen,Temuera Morrison,2201126.0
Ricardo Darín,Gastón Pauls,1221261.0
Ricardo Darín,Soledad Villamil,6391436.0
Rich Moore,Jared Bush,341268248.0
Richard Dreyfuss,François Truffaut,132088635.0
Richard E. Grant,Paul McGann,1544889.0
Richard Farnsworth,Sissy Spacek,6203044.0
Richard Gere,Laura Linney,56116183.0
Richard Jenkins,Haaz Sleiman,9422422.0
Rob Minkoff,Matthew Broderick,422783777.0
Rob Reiner,Michael McKean,188751.0
Robert De Niro,Al Pacino,7000000.0
Robert De Niro,Cathy Moriarty,23383987.0
Robert De Niro,Chazz Palminteri,17266971.0
Robert De Niro,Christopher Walken,48979328.0
Robert De Niro,Jerry Lewis,2500000.0
Robert De Niro,Jodie Foster,28262574.0
Robert De Niro,Kevin Bacon,49100000.0
Robert De Niro,Ray Liotta,46836394.0
Robert De Niro,Robin Williams,52096475.0
Robert De Niro,Sharon Stone,42438300.0
Robert Downey Jr.,Chris Evans,623279547.0
Robert Downey Jr.,Gwyneth Paltrow,318412101.0
Robert Downey Jr.,Jude Law,209028679.0
Robert Mitchum,Shelley Winters,654000.0
Roberto Benigni,Nicoletta Braschi,57598247.0
Robin Williams,Matt Damon,138433435.0
